transaction_date,merchant_id,Total_Transaction,Total_Paid
2018-01-01,535,349,25883.226
2018-01-01,42616,141,40918.86000000007
2018-01-01,46774,410,306902.6999999997
2018-01-01,86302,10,11.339999999999998
2018-01-01,124381,285,111383.76600000008
2018-01-01,129316,5,15.75
2018-01-02,535,729,60263.92799999999
2018-01-02,42616,162,48332.77200000007
2018-01-02,46774,1708,1431591.8219999978
2018-01-02,86302,83,144.77400000000003
2018-01-02,124381,757,286978.96800000046
2018-01-02,129316,94,252.0
2018-01-03,535,657,51071.99399999999
2018-01-03,42616,5225,959709.4919999988
2018-01-03,46774,1225,1087806.3479999995
2018-01-03,86302,94,157.78799999999993
2018-01-03,124381,802,315681.7139999998
2018-01-03,129316,151,405.8999999999999
2018-01-04,535,706,56995.11000000001
2018-01-04,42616,4039,736108.793999995
2018-01-04,46774,1056,938222.2980000004
2018-01-04,57192,2,18.0
2018-01-04,86302,112,183.09600000000003
2018-01-04,124381,924,336428.46000000014
2018-01-04,129316,128,330.30000000000007
2018-01-05,535,648,66689.35199999997
2018-01-05,42616,1261,228568.87800000343
2018-01-05,46774,1469,1188361.62
2018-01-05,86302,114,166.374
2018-01-05,124381,1029,374897.3580000007
2018-01-05,129316,180,492.2999999999997
2018-01-06,535,581,55923.588
2018-01-06,42616,853,165512.32200000214
2018-01-06,46774,540,440394.84000000014
2018-01-06,57192,1,9.0
2018-01-06,86302,98,139.33800000000005
2018-01-06,124381,774,288883.8720000005
2018-01-06,129316,161,430.65
2018-01-07,535,613,65682.39599999995
2018-01-07,42616,708,136958.54400000162
2018-01-07,46774,423,333790.56000000006
2018-01-07,86302,57,71.892
2018-01-07,124381,792,311409.43200000067
2018-01-07,129316,108,305.1000000000001
2018-01-08,535,654,65227.60800000003
2018-01-08,42616,667,125123.41800000147
2018-01-08,46774,1639,1409053.5719999971
2018-01-08,57192,94,21674.01599999999
2018-01-08,86302,160,227.14199999999988
2018-01-08,124381,804,291551.67000000045
2018-01-08,129316,170,463.9499999999996
2018-01-09,535,782,78227.11799999994
2018-01-09,42616,506,95264.26200000092
2018-01-09,46774,1213,1114713.323999999
2018-01-09,57192,106,16373.843999999994
2018-01-09,86302,123,234.30599999999984
2018-01-09,124381,739,306952.29000000074
2018-01-09,129316,206,566.5499999999997
2018-01-10,535,758,76767.552
2018-01-10,42616,493,89149.68000000084
2018-01-10,46774,1908,1603456.0920000025
2018-01-10,57192,929,194415.7679999994
2018-01-10,86302,107,191.55599999999984
2018-01-10,124381,608,237190.5180000004
2018-01-10,129316,162,436.95000000000033
2018-01-11,535,678,59445.39599999999
2018-01-11,42616,492,88701.48000000093
2018-01-11,46774,1170,996647.7240000012
2018-01-11,57192,990,169174.6739999997
2018-01-11,86302,134,251.09999999999988
2018-01-11,124381,503,223250.8500000005
2018-01-11,129316,150,381.1500000000001
2018-01-12,535,822,88896.52799999992
2018-01-12,42616,562,94103.22600000109
2018-01-12,46774,912,884088.3959999998
2018-01-12,57192,903,162166.19399999946
2018-01-12,86302,148,220.14000000000004
2018-01-12,124381,613,278018.4060000009
2018-01-12,129316,184,499.49999999999983
2018-01-13,535,615,68158.13399999999
2018-01-13,42616,548,94553.730000001
2018-01-13,46774,393,294453.70200000005
2018-01-13,57192,763,119349.1980000003
2018-01-13,86302,77,101.62800000000009
2018-01-13,124381,422,176435.3340000004
2018-01-13,129316,148,401.8499999999998
2018-01-14,535,568,53815.89600000005
2018-01-14,42616,827,139404.1500000018
2018-01-14,46774,355,282022.7759999999
2018-01-14,57192,680,104410.98000000024
2018-01-14,86302,39,56.66400000000001
2018-01-14,124381,433,185541.1920000004
2018-01-14,129316,46,130.95000000000002
2018-01-15,535,787,72639.75599999996
2018-01-15,42616,629,150398.06400000068
2018-01-15,46774,1727,1541562.8040000028
2018-01-15,57192,1083,219860.09999999928
2018-01-15,86302,85,151.72199999999998
2018-01-15,124381,643,256089.3660000004
2018-01-15,129316,177,472.0499999999998
2018-01-16,535,734,71088.65999999999
2018-01-16,42616,400,90219.83400000048
2018-01-16,46774,1020,946001.8439999998
2018-01-16,57192,951,196140.2219999992
2018-01-16,86302,121,218.718
2018-01-16,124381,589,266610.2760000007
2018-01-16,129316,217,593.5500000000003
2018-01-17,535,733,71940.00599999996
2018-01-17,42616,564,112042.38600000076
2018-01-17,46774,862,743212.8539999991
2018-01-17,57192,998,168155.89199999944
2018-01-17,86302,134,263.5199999999999
2018-01-17,124381,521,231341.8320000004
2018-01-17,129316,209,574.6500000000003
2018-01-18,535,682,71728.99199999997
2018-01-18,42616,396,79521.08400000048
2018-01-18,46774,723,669025.0080000011
2018-01-18,57192,941,180309.50999999943
2018-01-18,86302,123,241.72199999999987
2018-01-18,124381,516,236976.7500000004
2018-01-18,129316,142,389.6999999999999
2018-01-19,535,750,83748.05999999992
2018-01-19,42616,1219,220258.3859999996
2018-01-19,46774,850,770925.4560000016
2018-01-19,57192,866,238664.35799999896
2018-01-19,86302,133,238.78799999999984
2018-01-19,124381,475,220154.7420000006
2018-01-19,129316,190,488.25000000000006
2018-01-20,535,588,61553.66399999999
2018-01-20,42616,1027,188680.03199999995
2018-01-20,46774,596,414587.5560000009
2018-01-20,57192,693,154455.85800000012
2018-01-20,86302,107,194.904
2018-01-20,124381,415,192866.7960000005
2018-01-20,129316,185,512.0999999999995
2018-01-21,535,559,51915.23999999998
2018-01-21,42616,764,165153.0060000006
2018-01-21,46774,239,169666.23599999983
2018-01-21,57192,688,96711.39000000012
2018-01-21,86302,37,47.97
2018-01-21,124381,430,237171.96000000057
2018-01-21,129316,62,163.34999999999994
2018-01-22,535,730,81066.23999999995
2018-01-22,42616,723,147876.3720000006
2018-01-22,46774,883,693559.728
2018-01-22,57192,1027,206617.2299999989
2018-01-22,86302,135,281.358
2018-01-22,124381,544,262255.51800000074
2018-01-22,129316,145,388.7999999999997
2018-01-23,535,771,78472.24199999994
2018-01-23,42616,651,133133.6700000009
2018-01-23,46774,677,594377.1000000002
2018-01-23,57192,986,183841.1279999996
2018-01-23,86302,153,251.22600000000003
2018-01-23,124381,496,231262.7220000007
2018-01-23,129316,163,418.05000000000007
2018-01-24,535,736,77819.22000000002
2018-01-24,42616,702,144214.23600000088
2018-01-24,46774,660,565925.3100000002
2018-01-24,57192,957,175428.9359999998
2018-01-24,86302,121,234.396
2018-01-24,124381,538,250882.12800000052
2018-01-24,129316,182,460.3499999999997
2018-01-25,535,639,57784.284000000014
2018-01-25,42616,535,110155.7160000008
2018-01-25,46774,752,669258.3060000007
2018-01-25,57192,924,166232.48399999985
2018-01-25,86302,144,293.20199999999994
2018-01-25,124381,490,235674.01800000065
2018-01-25,129316,178,450.8999999999999
2018-01-26,535,681,77233.73399999995
2018-01-26,42616,472,93674.8440000006
2018-01-26,46774,704,551140.4160000004
2018-01-26,57192,888,187279.5959999999
2018-01-26,86302,127,198.972
2018-01-26,124381,445,199924.2540000004
2018-01-26,129316,198,513.4499999999998
2018-01-27,535,695,74527.18199999996
2018-01-27,42616,758,154682.01000000077
2018-01-27,46774,339,268477.14599999995
2018-01-27,57192,689,114831.14400000022
2018-01-27,86302,70,124.97399999999998
2018-01-27,124381,386,241639.7400000003
2018-01-27,129316,177,468.8999999999998
2018-01-28,535,526,63374.36399999999
2018-01-28,42616,511,109011.9420000007
2018-01-28,46774,244,179229.18599999993
2018-01-28,57192,616,94795.5060000002
2018-01-28,86302,10,14.418
2018-01-28,124381,411,234794.0700000004
2018-01-28,129316,110,291.6
2018-01-29,535,734,72809.28
2018-01-29,42616,463,91598.27400000056
2018-01-29,46774,771,649675.0079999993
2018-01-29,57192,940,169496.2259999994
2018-01-29,86302,116,195.516
2018-01-29,124381,556,310257.03600000055
2018-01-29,129316,252,693.8999999999999
2018-01-30,535,716,76125.41999999997
2018-01-30,42616,385,78094.35000000046
2018-01-30,46774,739,611182.008
2018-01-30,57192,987,173155.62599999944
2018-01-30,86302,135,333.09
2018-01-30,124381,503,274667.3460000004
2018-01-30,129316,227,619.6499999999999
2018-01-31,535,706,74357.63999999994
2018-01-31,42616,543,101653.68600000085
2018-01-31,46774,1386,1055128.5540000016
2018-01-31,57192,970,182173.04999999955
2018-01-31,86302,125,213.5699999999999
2018-01-31,124381,542,281392.36200000026
2018-01-31,129316,205,553.5000000000002
2018-02-01,535,745,81568.61999999997
2018-02-01,42616,534,102049.02000000086
2018-02-01,46774,1435,1296086.5439999998
2018-02-01,57192,973,184515.80399999945
2018-02-01,86302,68,124.146
2018-02-01,124381,519,270634.8780000004
2018-02-01,129316,214,568.8000000000001
2018-02-02,535,680,69282.53999999998
2018-02-02,42616,935,134347.5540000018
2018-02-02,46774,1206,1046633.1300000008
2018-02-02,57192,841,198902.6460000006
2018-02-02,86302,49,127.53
2018-02-02,124381,498,270925.14600000065
2018-02-02,129316,190,501.3
2018-02-03,535,717,72056.268
2018-02-03,42616,622,101387.57400000122
2018-02-03,46774,553,505310.2919999997
2018-02-03,57192,714,119912.74199999988
2018-02-03,86302,37,68.97600000000001
2018-02-03,124381,438,229478.81400000045
2018-02-03,129316,239,653.8499999999998
2018-02-04,535,470,40240.80000000001
2018-02-04,42616,691,110698.9920000014
2018-02-04,46774,499,459753.12
2018-02-04,57192,599,92985.56999999982
2018-02-04,86302,16,26.748
2018-02-04,124381,468,229311.34200000035
2018-02-04,129316,88,246.6
2018-02-05,535,924,103905.8459999999
2018-02-05,42616,368,76407.9840000004
2018-02-05,46774,1834,1780126.8299999975
2018-02-05,57192,1029,209603.5380000015
2018-02-05,86302,53,94.10399999999998
2018-02-05,124381,561,267600.1140000006
2018-02-05,129316,202,540.4500000000002
2018-02-06,535,792,77562.89999999995
2018-02-06,42616,428,91036.74600000058
2018-02-06,46774,1364,1305866.3940000013
2018-02-06,57192,953,203032.89000000097
2018-02-06,86302,70,136.71000000000004
2018-02-06,124381,567,284878.9260000003
2018-02-06,129316,206,537.7499999999998
2018-02-07,535,819,78742.04400000002
2018-02-07,42616,411,93600.86400000053
2018-02-07,46774,1327,1290156.048000001
2018-02-07,57192,1005,213897.330000001
2018-02-07,86302,92,159.47999999999988
2018-02-07,124381,534,298756.63800000056
2018-02-07,129316,198,514.3499999999997
2018-02-08,535,798,73814.93999999997
2018-02-08,42616,321,79279.95600000038
